the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B9CA97D3C2F754C0942DF0E724BB4140,175470,0101000020110F00008F87E654D7CE61C1E720631AC91F5041,175091,>1m <=5m,ATBI DATABASE,,1446917751000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239438,3928075,35.462057,-83.871262,Lake Cheoah-Little Tennessee River,,1686.404419,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917751000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000EB481E1DB1F154C01450F7EDE3BD4140,175480,0101000020110F0000E0214CC3AFC961C118B50E43A6225041,175101,>1m <=5m,ATBI DATABASE,,1446917756000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248113,3930209,35.483512,-83.776431,Eagle Creek,Eagle Creek,1697.239258,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917756000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000097B4263987EE54C01C93658B9BBC4140,175483,0101000020110F00001D4C31ECFFC661C15235B7C64F215041,175104,>1m <=5m,ATBI DATABASE,,1446917757000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252568,3928972,35.47349,-83.726999,Hazel Creek,Hazel Creek,1702.226807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917757000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051747200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C5C9B180FFE654C014D2661154B94140,175484,0101000020110F00009A2D7FB59AC061C138196F72E41D5041,175105,>1m <=5m,ATBI DATABASE,,1446917758000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263171,3925841,35.447871,-83.609341,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1697.696289,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917758000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082937600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BBABB90409E454C0A47ADAFD84BB4140,175485,0101000020110F00004DAC2E8716BE61C150D7BE4B2D205041,175106,>1m <=5m,ATBI DATABASE,,1446917758000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267423,3927630,35.464989,-83.563046,Forney Creek,Forney Creek,1697.284058,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917758000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083196800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000850A8D4116E254C0708DDC8EC1BA4140,175487,0101000020110F0000637DD2ED6EBC61C169CC2683611F5041,175108,>1m <=5m,ATBI DATABASE,,1446917759000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270169,3926897,35.459025,-83.532604,Noland Creek,Laurel Branch,2015.328857,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917759000,GRSM,UNR,,4,,,Tunnel Bypass Trail NC,Lakeview Drive East,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051833600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C12C73A18FF354C05A9F770510CE4140,175479,0101000020110F0000D215DE2A46CB61C1832816CC87335041,175100,>1m <=5m,ATBI DATABASE,,1446917755000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245862,3944302,35.609857,-83.805637,Abrams Creek Upper,Feezell Branch,1967.669189,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917755000,GRSM,UNR,,7,,,Rich Mountain Loop Trail,Cades Cove Loop Road,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901497600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000FA9F50708DF754C01310974CB0C24140,175471,0101000020110F000009EA46FDA9CE61C15D3183C1A7275041,175092,>1m <=5m,ATBI DATABASE,,1446917751000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,239924,3934606,35.520998,-83.868004,Abrams Creek Lower,,4786.604492,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917751000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-1262304000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,decade,cert,GRSMNP Grassy Balds
0101000020E610000017726A3CD8FD54C0ACF8DE9DC4C14140,175458,0101000020110F0000BFCA3C0A02D461C17EF192D5B1265041,175080,>1m <=5m,ATBI DATABASE,,1446917745000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,230982,3934072,35.513806,-83.966319,Chilhowee Lake,Maynard Creek,1264.128052,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917745000,GRSM,UNR,,7,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000008A9E24F50FFF54C0651944A667C34140,175455,0101000020110F00006F2B05C90AD561C104A6471667285041,175077,>1m <=5m,ATBI DATABASE,,1446917743000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229299,3935543,35.526594,-83.985345,Chilhowee Lake,Tabcat Creek,1405.984985,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917743000,GRSM,UNR,,10,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004706C8B63DFF54C04E0FA18971C44140,175454,0101000020110F0000F8B86AA531D561C112BE87927C295041,175076,>1m <=5m,ATBI DATABASE,,1446917743000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229073,3936451,35.534708,-83.988138,Chilhowee Lake,Shop Creek,1540.868286,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917743000,GRSM,UNR,,10,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000007FF918374BFF54C06BC6EBBFE3C44140,175452,0101000020110F00004C09DE1C3DD561C12BCA4FC6F3295041,175074,>1m <=5m,ATBI DATABASE,,1446917741000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229010,3936840,35.538194,-83.988962,Chilhowee Lake,,1241.446167,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917741000,GRSM,UNR,,7,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000006583E59844FF54C08DCB9A53E7C44140,175453,0101000020110F0000D45BFB7D37D561C1146F0682F7295041,175075,>1m <=5m,ATBI DATABASE,,1446917742000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229047,3936851,35.538303,-83.988558,Chilhowee Lake,,1310.963867,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917742000,GRSM,UNR,,7,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000D77FF6535EFF54C0A2F128BBB7C54140,175451,0101000020110F0000E41F61584DD561C1FDDC2008D12A5041,175073,>1m <=5m,ATBI DATABASE,,1446917740000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228926,3937561,35.544663,-83.990128,Chilhowee Lake,,1091.829346,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917740000,GRSM,UNR,,6,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004DD5A595CEFE54C0CC80D87E24C74140,175456,0101000020110F0000470E8F43D3D461C14D6F89CC4D2C5041,175078,>1m <=5m,ATBI DATABASE,,1446917744000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229759,3938772,35.555794,-83.981355,Abrams Creek Lower,Panther Creek,1024.13562,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917744000,GRSM,UNR,,10,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020038400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000238A03C7A9FE54C01C6D663E31C74140,175457,0101000020110F000021AFE900B4D461C1977B831B5B2C5041,175079,>1m <=5m,ATBI DATABASE,,1446917744000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229964,3938809,35.556183,-83.979108,Abrams Creek Lower,Panther Creek,1119.206665,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917744000,GRSM,UNR,,10,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994809600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C1A604E079FF54C08377C3D49BC64140,175448,0101000020110F00005F31B1BD64D561C1B4AEF821BF2B5041,175071,>1m <=5m,ATBI DATABASE,,1446917739000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228797,3938338,35.551624,-83.991809,Chilhowee Lake,Little Tennessee River,1241.030518,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917739000,GRSM,UNR,,6,,,Hannah Mountain Trail,Foothills Parkway Southwest Entrance Sign Parking #1,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000015F444D67FF54C0930F5A4C02C64140,175449,0101000020110F000002067BF754D561C1F6C9B1DD1E2B5041,175072,>1m <=5m,ATBI DATABASE,,1446917740000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228884,3937815,35.546938,-83.990676,Chilhowee Lake,Little Tennessee River,1064.013428,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917740000,GRSM,UNR,,9,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000566D74B793FF54C096384A1C41C74140,175447,0101000020110F00008B3F2FB07AD561C11CDEEEAB6B2C5041,175070,>1m <=5m,ATBI DATABASE,,1446917739000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228671,3938902,35.556668,-83.993387,Abrams Creek Lower,Panther Creek,1268.720825,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446917739000,GRSM,UNR,,8,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,TVA Powerline Plants
